,bet_days,avg,StartTime,Calendar,Rent,Close
63,8188,23.98149250440917,2000-01-01,2022-06-02,0.9276221264367815,112393.0
64,8187,25.16640625,2000-01-01,2022-06-01,0.008082549775035698,111360.0
65,8186,20.15141305235645,2000-01-01,2022-05-31,0.2873045608473233,111351.0
66,8185,28.194882352941175,2000-01-01,2022-05-30,-0.812920976934484,111032.0
67,8184,18.56,2000-01-01,2022-05-29,0.04647421574760926,111942.0
68,8183,20.446969696969695,2000-01-01,2022-05-28,0.04647421574760926,111942.0
69,8182,25.807298474945533,2000-01-01,2022-05-27,0.04647421574760926,111942.0
70,8181,24.13603896103896,2000-01-01,2022-05-26,1.1846626876469524,111890.0
71,8180,20.163520408163265,2000-01-01,2022-05-25,-0.0009043144844050968,110580.0
72,8179,21.0972972972973,2000-01-01,2022-05-24,0.21296648723107317,110581.0
73,8178,22.008484848484848,2000-01-01,2022-05-23,1.712631811813288,110346.0
74,8177,26.305555555555557,2000-01-01,2022-05-22,1.3859165459557965,108488.0
75,8176,14.19419306184012,2000-01-01,2022-05-21,1.3859165459557965,108488.0
76,8175,24.313166666666667,2000-01-01,2022-05-20,1.3859165459557965,108488.0
77,8174,25.17530864197531,2000-01-01,2022-05-19,0.7134319086656565,107005.0
78,8173,24.516666666666666,2000-01-01,2022-05-18,-2.336633299322542,106247.0
79,8172,26.669132653061226,2000-01-01,2022-05-17,0.5137065405190653,108789.0
80,8171,19.916666666666668,2000-01-01,2022-05-16,1.2242340353896226,108233.0
81,8170,23.583333333333332,2000-01-01,2022-05-15,1.1694799788055408,106924.0
82,8169,25.596666666666668,2000-01-01,2022-05-14,1.1694799788055408,106924.0
83,8168,20.2475,2000-01-01,2022-05-13,1.1694799788055408,106924.0
84,8167,26.85607576363879,2000-01-01,2022-05-12,1.2366255735318066,105688.0
85,8166,16.96283451397088,2000-01-01,2022-05-11,1.2481815536805354,104397.0
86,8165,19.728494623655916,2000-01-01,2022-05-10,-0.13559322033898305,103110.0
87,8164,30.366176470588236,2000-01-01,2022-05-09,-1.7929328958006374,103250.0
88,8163,28.229885057471265,2000-01-01,2022-05-08,-0.16048773076046494,105135.0
89,8162,35.583333333333336,2000-01-01,2022-05-07,-0.16048773076046494,105135.0
90,8161,22.003508771929823,2000-01-01,2022-05-06,-0.16048773076046494,105135.0
91,8160,25.33101851851852,2000-01-01,2022-05-05,-2.805877575131064,105304.0
92,8159,23.794444444444444,2000-01-01,2022-05-04,1.7047161309702612,108344.0
93,8158,19.699425287356323,2000-01-01,2022-05-03,-0.10408949821359915,106528.0
94,8157,31.73357963875205,2000-01-01,2022-05-02,-1.1466869368534243,106639.0
95,8156,28.28125,2000-01-01,2022-05-01,-1.8586413631856185,107876.0
96,8155,14.815625,2000-01-01,2022-04-30,-1.8586413631856185,107876.0
97,8154,19.680555555555557,2000-01-01,2022-04-29,-1.8586413631856185,107876.0
98,8153,16.161616161616163,2000-01-01,2022-04-28,0.5212667697006832,109919.0
99,8152,17.452142857142857,2000-01-01,2022-04-27,1.0497814495485753,109349.0
100,8151,18.775,2000-01-01,2022-04-26,-2.2333649546008942,108213.0
101,8150,21.679333333333332,2000-01-01,2022-04-25,-0.35380543401933773,110685.0
102,8149,33.46359649122807,2000-01-01,2022-04-24,-2.8562932904218847,111078.0
103,8148,25.602941176470587,2000-01-01,2022-04-23,-2.8562932904218847,111078.0
104,8147,16.036231884057973,2000-01-01,2022-04-22,-2.8562932904218847,111078.0
105,8146,13.934567901234567,2000-01-01,2022-04-21,-0.6196928478927836,114344.0
106,8145,27.50925925925926,2000-01-01,2022-04-20,-0.6196928478927836,114344.0
107,8144,28.42362433862434,2000-01-01,2022-04-19,-0.5445728560685297,115057.0
108,8143,25.131818181818183,2000-01-01,2022-04-18,-0.4260556712743798,115687.0
109,8142,34.97857142857143,2000-01-01,2022-04-17,-0.5137778082238701,116182.0
110,8141,35.550925925925924,2000-01-01,2022-04-16,-0.5137778082238701,116182.0
111,8140,33.904761904761905,2000-01-01,2022-04-15,-0.5137778082238701,116182.0
112,8139,28.784615384615385,2000-01-01,2022-04-14,-0.5137778082238701,116182.0
113,8138,11.972727272727273,2000-01-01,2022-04-13,0.5467209656728111,116782.0
114,8137,19.295454545454547,2000-01-01,2022-04-12,-0.6891657332432686,116147.0
115,8136,23.106666666666666,2000-01-01,2022-04-11,-1.1570122208887612,116953.0
116,8135,23.125,2000-01-01,2022-04-10,-0.4543083575911561,118322.0
117,8134,23.974937343358395,2000-01-01,2022-04-09,-0.4543083575911561,118322.0
118,8133,18.756666666666668,2000-01-01,2022-04-08,-0.4543083575911561,118322.0
119,8132,16.183333333333334,2000-01-01,2022-04-07,0.0,122516.0
